,x,y,Category
0,-17.05594,15.277751,Dark Blue Polo T-Shirt
1,-15.643158,17.4543,Dark Blue Polo T-Shirt
2,-10.70574,14.93919,Dark Blue Polo T-Shirt
3,-9.584839,13.565543,Dark Blue Polo T-Shirt
4,-10.142312,14.703189,Dark Blue Polo T-Shirt
5,-8.242736,16.578497,Dark Blue Polo T-Shirt
6,-14.304222,17.249172,Dark Blue Polo T-Shirt
7,-17.132658,6.3409615,Dark Blue Polo T-Shirt
8,-14.29445,9.085008,Dark Blue Polo T-Shirt
9,-13.641582,16.02821,Dark Blue Polo T-Shirt
10,-15.595378,12.665338,Dark Blue Polo T-Shirt
11,-18.556253,17.663223,Dark Blue Polo T-Shirt
12,-15.19815,11.218774,Dark Blue Polo T-Shirt
13,-11.716849,8.709025,Dark Blue Polo T-Shirt
14,-12.053751,10.561135,Dark Blue Polo T-Shirt
15,-19.740578,15.581885,Dark Blue Polo T-Shirt
16,-14.241628,14.288636,Dark Blue Polo T-Shirt
17,-15.132595,8.551839,Dark Blue Polo T-Shirt
18,-13.278137,13.680922,Dark Blue Polo T-Shirt
19,-12.885351,7.9905562,Dark Blue Polo T-Shirt
20,-19.297028,16.943922,Dark Blue Polo T-Shirt
21,-12.694382,17.024336,Dark Blue Polo T-Shirt
22,-15.811055,16.209599,Dark Blue Polo T-Shirt
23,-16.123823,11.018021,Dark Blue Polo T-Shirt
24,-14.156363,10.467665,Dark Blue Polo T-Shirt
25,-13.923556,15.581078,Dark Blue Polo T-Shirt
26,-13.443067,8.381433,Dark Blue Polo T-Shirt
27,-16.784594,16.443354,Dark Blue Polo T-Shirt
28,-14.236089,6.6945143,Dark Blue Polo T-Shirt
29,-12.937062,15.591791,Dark Blue Polo T-Shirt
30,-15.537483,8.380934,Dark Blue Polo T-Shirt
31,-12.688154,14.984562,Dark Blue Polo T-Shirt
32,-13.058635,12.65595,Dark Blue Polo T-Shirt
33,-12.271379,10.891189,Dark Blue Polo T-Shirt
34,-15.888038,14.705737,Dark Blue Polo T-Shirt
35,-17.844387,12.678989,Dark Blue Polo T-Shirt
36,-14.295393,12.424546,Dark Blue Polo T-Shirt
37,-15.907895,13.410493,Dark Blue Polo T-Shirt
38,-8.071729,10.919954,Dark Blue Polo T-Shirt
39,-15.525278,8.711081,Dark Blue Polo T-Shirt
40,-15.772931,9.796755,Dark Blue Polo T-Shirt
41,-17.522184,10.012255,Dark Blue Polo T-Shirt
42,-10.435285,17.819914,Dark Blue Polo T-Shirt
43,-16.388685,7.406678,Dark Blue Polo T-Shirt
44,-10.611413,9.860755,Dark Blue Polo T-Shirt
45,-14.317795,13.009608,Dark Blue Polo T-Shirt
46,-11.921459,13.787853,Dark Blue Polo T-Shirt
47,-17.52907,7.249553,Dark Blue Polo T-Shirt
48,-13.275575,13.441176,Dark Blue Polo T-Shirt
49,-17.097307,13.545274,Dark Blue Polo T-Shirt
50,-12.146305,9.436496,Dark Blue Polo T-Shirt
51,-10.9286,10.668259,Dark Blue Polo T-Shirt
52,-14.062079,11.0776005,Dark Blue Polo T-Shirt
53,-10.382474,6.219318,Dark Blue Polo T-Shirt
54,-15.037696,15.439652,Dark Blue Polo T-Shirt
55,-17.1172,11.112967,Dark Blue Polo T-Shirt
56,-10.253845,8.66193,Dark Blue Polo T-Shirt
57,-19.139032,11.569437,Dark Blue Polo T-Shirt
58,11.766625,5.0960135,Dark Blue Polo T-Shirt
59,-12.610386,12.366625,Dark Blue Polo T-Shirt
60,11.728579,5.2060065,Dark Blue Polo T-Shirt
61,-10.71256,17.1263,Dark Blue Polo T-Shirt
62,-17.98023,14.258044,Dark Blue Polo T-Shirt
63,-11.366644,7.367574,Dark Blue Polo T-Shirt
64,-19.594458,13.618346,Dark Blue Polo T-Shirt
65,-10.865177,13.319805,Dark Blue Polo T-Shirt
66,-16.381113,12.372597,Dark Blue Polo T-Shirt
67,-15.910462,13.961919,Dark Blue Polo T-Shirt
68,-11.335881,11.825872,Dark Blue Polo T-Shirt
69,-14.2285595,5.2366877,Dark Blue Polo T-Shirt
70,-12.397056,13.337077,Dark Blue Polo T-Shirt
71,-13.478248,6.5808883,Dark Blue Polo T-Shirt
72,-10.358045,12.842708,Dark Blue Polo T-Shirt
73,-14.810872,14.349881,Dark Blue Polo T-Shirt
74,-7.8416348,14.245423,Dark Blue Polo T-Shirt
75,1.7978792,-3.0796556,Blue Polo T-Shirt
76,-1.9113743,-5.164208,Blue Polo T-Shirt
77,2.1397438,-1.3019812,Blue Polo T-Shirt
78,4.117008,-2.030548,Blue Polo T-Shirt
79,10.552501,1.9683052,Blue Polo T-Shirt
