,x,y,Category
0,-15.010797,4.5890284,Sandals
1,-14.779888,4.234241,Sandals
2,-21.448315,3.9063215,Sandals
3,-19.082443,6.3363147,Sandals
4,-17.669138,3.5243328,Sandals
5,-11.658825,5.5322375,Sandals
6,-16.166521,7.229133,Sandals
7,-19.427534,8.25375,Sandals
8,-12.094136,8.7716675,Sandals
9,-19.018745,4.574078,Sandals
10,-17.468784,3.9641213,Sandals
11,-19.23921,7.1553726,Sandals
12,-10.8289995,4.28813,Sandals
13,-20.526102,4.189574,Sandals
14,-21.018005,6.50643,Sandals
15,-12.263525,9.505483,Sandals
16,-16.48029,5.660445,Sandals
17,-14.349368,8.77419,Sandals
18,-17.611841,5.0055223,Sandals
19,-16.255745,8.214719,Sandals
20,-13.08252,4.388797,Sandals
21,-13.789499,6.0066504,Sandals
22,-17.8132,3.0019898,Sandals
23,-11.983147,5.3021374,Sandals
24,-16.705385,9.577329,Sandals
25,-17.743366,8.826171,Sandals
26,-16.368603,11.08414,Sandals
27,-7.563687,6.775731,Sandals
28,-11.254203,8.155114,Sandals
29,-17.464874,5.886648,Sandals
30,-16.421238,6.343374,Sandals
31,-13.101817,3.341861,Sandals
32,-14.872627,6.763342,Sandals
33,-14.079145,8.915151,Sandals
34,-12.619409,2.602977,Sandals
35,-14.562682,5.8747897,Sandals
36,-14.1100025,4.5948234,Sandals
37,-11.90553,8.706348,Sandals
38,-7.4280386,4.513593,Sandals
39,-12.765278,7.9202766,Sandals
40,-14.70195,2.5236664,Sandals
41,-14.116882,3.8434193,Sandals
42,-17.97435,6.865042,Sandals
43,-16.57776,11.769702,Sandals
44,-20.71222,3.61445,Sandals
45,-14.294954,7.0348496,Sandals
46,-20.545107,9.041846,Sandals
47,-15.747871,6.918538,Sandals
48,-8.227158,10.289023,Sandals
49,-18.224144,4.9087877,Sandals
50,-7.6130543,4.772893,Sandals
51,-16.472088,11.562887,Sandals
52,-21.584593,4.3881354,Sandals
53,-20.16226,5.6966624,Sandals
54,-18.891293,5.1047473,Sandals
55,-20.33278,2.531126,Sandals
56,-10.89614,4.336592,Sandals
57,-14.6906805,7.6927576,Sandals
58,-8.296406,10.366029,Sandals
59,-17.365143,4.7221637,Sandals
60,-9.339321,6.3140883,Sandals
61,-19.52823,5.577203,Sandals
62,-11.9771805,5.2840943,Sandals
63,-8.309052,10.382038,Sandals
64,-13.48266,3.6936564,Sandals
